investigation: investigation+N+SG
$73.50: $73.50+N+SG
handguns: handgun+N+PL
Livery: livery+N+SG
prop.: prop.+N+SG
horsedom: horsedom+N+SG
tallyho: tallyho+N+SG
redwood: redwood+N+SG
orchards: orchard+N+PL
lantern: lantern+N+SG
trenchermen: trenchermen+N+SG
Breakfast: breakfast+N+SG
halts: halt+N+PL
hostler: hostler+N+SG
hamper: hamper+N+SG
filets: filet+N+PL
sturgeon: sturgeon+N+SG
sandwiches: sandwich+N+PL
rum: rum+N+SG
sangaree: sangaree+N+SG
botanists: botanist+N+PL
bulbs: bulb+N+PL
ferns: fern+N+PL
resin: resin+N+SG
fir: fir+N+SG
incense: incense+N+SG
fragrance: fragrance+N+SG
pastilles: pastille+N+PL
lithographs: lithograph+N+PL
polish: Invalid Word
liniments: liniment+N+PL
patent: patent+N+SG
medicines: medicine+N+PL
blacking: blacking+N+SG
porter: porter+N+SG
napkins: napkin+N+PL
platter: platter+N+SG
salt: salt+N+SG
roast: roast+N+SG
fritters: fritter+N+PL
Oyster: oyster+N+SG
standby: standby+N+SG
coachmen: coachmen+N+SG
1890's: 1890'+N+PL
Gastronomes: gastronome+N+PL
splash: Invalid Word
absinthe: absinthe+N+SG
parsley: parsley+N+SG
underbedding: underbedding+N+SG
liqueur: liqueur+N+SG
herbs: herb+N+PL
seasoning: seasoning+N+SG
rig: rig+N+SG
$2,300: $2,300+N+SG
replica: replica+N+SG
whips: whip+N+PL
axles: axle+N+PL
roulette: roulette+N+SG
gloss: gloss+N+SG
jaw: jaw+N+SG
funerals: funeral+N+PL
whip: whip+N+SG
kedgeree: kedgeree+N+SG
cupful: cupful+N+SG
haddock: haddock+N+SG
sauce: sauce+N+SG
cayenne: cayenne+N+SG
pinch: pinch+N+SG
curry: curry+N+SG
tablespoonful: tablespoonful+N+SG
anchovy: anchovy+N+SG
omelet: omelet+N+SG
celery: celery+N+SG
teaspoonful: teaspoonful+N+SG
chives: chive+N+PL
nutmeg: nutmeg+N+SG
jigger: jigger+N+SG
fortnight: fortnight+N+SG
restaurateur: restaurateur+N+SG
magnate: magnate+N+SG
galleries: gallery+N+PL
maelstrom: maelstrom+N+SG
primacy: Invalid Word
gardenia: gardenia+N+SG
boots: boot+N+PL
currant: currant+N+SG
reins: rein+N+PL
button: button+N+SG
surtout: surtout+N+SG
curve: curve+N+SG
peninsula: peninsula+N+SG
uplands: upland+N+PL
inns: inn+N+PL
dashboard: Invalid Word
cigar: cigar+N+SG
clump: clump+N+SG
fork: fork+N+SG
redwoods: redwood+N+PL
valley: valley+N+SG
fernery: fernery+N+SG
seersucker: seersucker+N+SG
mackintosh: Invalid Word
disfavor: disfavor+N+SG
ink: ink+N+SG
stables: stable+N+PL
bins: bin+N+PL
verandas: veranda+N+PL
rockers: rocker+N+PL
sojourners: sojourner+N+PL
haunt: haunt+N+SG
Acorns: acorn+N+PL
oaks: oak+N+PL
pigs: pig+N+PL
sweepstakes: sweepstake+N+PL
saucepan: saucepan+N+SG
teaspoonfuls: teaspoonful+N+PL
mustard: mustard+N+SG
garlic: garlic+N+SG
cloves: clove+N+PL
gherkins: gherkin+N+PL
lime: lime+N+SG
tablespoons: tablespoon+N+PL
catsup: catsup+N+SG
chutney: chutney+N+SG
walnuts: walnut+N+PL
pint: pint+N+SG
kegful: kegful+N+SG
kegs: keg+N+PL
ineyards: ineyard+N+PL
nuisance: nuisance+N+SG
fences: fence+N+PL
panthers: panther+N+PL
venison: venison+N+SG
pies: py+N+PL
dryness: dryness+N+SG
gunflint: gunflint+N+SG
vineyards: vineyard+N+PL
Apple: apple+N+SG
creeks: creek+N+PL
apples: apple+N+PL
crackle: crackle+N+SG
Dwellers: dweller+N+PL
apple: apple+N+SG
bakery: bakery+N+SG
oven: oven+N+SG
billets: billet+N+PL
pie: pie+N+SG
baker: baker+N+SG
ledger: ledger+N+SG
apricot: apricot+N+SG
preserve: preserve+N+SG
clove: clove+N+SG
syrup: Invalid Word
tablespoonfuls: tablespoonful+N+PL
yolk: yolk+N+SG
birthplace: birthplace+N+SG
battlefields: battlefield+N+PL
villages: village+N+PL
metropolis: metropoli+N+PL
beaches: beach+N+PL
townships: Invalid Word
port: port+N+SG
whirlwind: whirlwind+N+SG
skyline: skyline+N+SG
ferry: ferry+N+SG
locales: locale+N+PL
weekday: weekday+N+SG
Pictures: picture+N+PL
tripods: tripod+N+PL
Photos: photo+N+PL
Flash: Invalid Word
lighthouses: lighthous+N+PL
sunlight: sunlight+N+SG
expanse: expanse+N+SG
spectacles: spectacle+N+PL
tourist: tourist+N+SG
rides: ride+N+PL
surroundings: surrounding+N+PL
adventure: adventure+N+SG
photofloodlights: photofloodlight+N+PL
gorges: gorge+N+PL
trademarks: trademark+N+PL
photo: photo+N+SG
profusion: profusion+N+SG
Exposure: exposure+N+SG
lighting: lighting+N+SG
shafts: Invalid Word
scenics: Invalid Word
tripod: tripod+N+SG
Peak: peak+N+SG
stroll: stroll+N+SG
fern: fern+N+SG
stopover: stopover+N+SG
farmlands: farmland+N+PL
landmarks: landmark+N+PL
mischief: Invalid Word
vacationland: vacationland+N+SG
borders: border+N+PL
Mementoes: mementoe+N+PL
cowboys: cowboy+N+PL
boomtown: boomtown+N+SG
70's: 70'+N+PL
80's: 80'+N+PL
carriages: carriage+N+PL
autos: auto+N+PL
Night: night+N+SG
travelogue: travelogue+N+SG
sunset: sunset+N+SG
memo: memo+N+SG
sightseers: sightseer+N+PL
dioramas: diorama+N+PL
exposures: exposure+N+PL
USGA: usga+N+SG
vacationers: vacationer+N+PL
falls: fall+N+PL
formations: formation+N+PL
landmark: landmark+N+SG
highpoint: highpoint+N+SG
boulevards: boulevard+N+PL
spires: spire+N+PL
mosques: mosque+N+PL
panorama: panorama+N+SG
vestige: vestige+N+SG
hubs: hub+N+PL
liners: liner+N+PL
minarets: minaret+N+PL
spice: spice+N+SG
bazaar: bazaar+N+SG
pagan: pagan+N+SG
temples: temple+N+PL
mosque: mosque+N+SG
buttresses: buttress+N+PL
mosaics: mosaic+N+PL
emperors: emperor+N+PL
sultans: sultan+N+PL
chariot: chariot+N+SG
Statues: statue+N+PL
obelisk: obelisk+N+SG
serpents: serpent+N+PL
courtyard: courtyard+N+SG
muezzin: Invalid Word
arcade: arcade+N+SG
favorite: favorite+N+SG
cistern: cistern+N+SG
pillars: pillar+N+PL
pagoda: pagoda+N+SG
lettering: lettering+N+SG
towers: tower+N+PL
prisons: prison+N+PL
chimneys: chimney+N+PL
porcelain: porcelain+N+SG
utensils: utensil+N+PL
portico: portico+N+SG
cups: cup+N+PL
diamonds: diamond+N+PL
swords: sword+N+PL
thrones: throne+N+PL
emeralds: emerald+N+PL
pearls: pearl+N+PL
divans: divan+N+PL
squares: square+N+PL
coals: coal+N+PL
grease: grease+N+SG
foil: foil+N+SG
sauces: sauce+N+PL
detergent: detergent+N+SG
spit: spit+N+SG
aluminum: aluminum+N+SG
meats: meat+N+PL
halves: halve+N+PL
grill: grill+N+SG
roasts: roast+N+PL
thermometer: thermometer+N+SG
desserts: dessert+N+PL
marinade: marinade+N+SG
cooler: cooler+N+SG
hibachi: hibachi+N+SG
tongs: tong+N+PL
forks: fork+N+PL
bowls: bowl+N+PL
saucers: saucer+N+PL
platters: platter+N+PL
dinnerware: dinnerware+N+SG
tablecloths: tablecloth+N+PL
oilcloth: oilcloth+N+SG
barbecues: barbecue+N+PL
Oilcloth: oilcloth+N+SG
coolers: cooler+N+PL
hamburgers: hamburger+N+PL
stews: stew+N+PL
chowders: chowder+N+PL
shish: Invalid Word
kebob: kebob+N+SG
lobster: lobster+N+SG
terry: terry+N+SG
Summertime: summertime+N+SG
mugs: mug+N+PL
earthenware: earthenware+N+SG
dressing: dressing+N+SG
bureaus: bureau+N+PL
loading: loading+N+SG
buns: bun+N+PL
relishes: Invalid Word
75%: 75%+N+SG
skillet: skillet+N+SG
knives: knive+N+PL
franks: frank+N+PL
sausages: sausage+N+PL
basics: basic+N+PL
cervelat: cervelat+N+SG
knackwurst: knackwurst+N+SG
Bologna: bologna+N+SG
pepperoni: pepperoni+N+SG
skewer: skewer+N+SG
mushroom: Invalid Word
feast: feast+N+SG
frankfurter: frankfurter+N+SG
gloves: glove+N+PL
Discovery: Invalid Word
Years: year+N+PL
treat: treat+N+SG
charcoal: charcoal+N+SG
frank: frank+N+SG
juices: juice+N+PL
Relishes: Invalid Word
pickle: pickle+N+SG
extras: extra+N+PL
chive: chive+N+SG
cheese: cheese+N+SG
chili: chili+N+SG
tablespoon: tablespoon+N+SG
teaspoons: teaspoon+N+PL
pound: pound+N+SG
goodbye: goodbye+N+SG
burners: burner+N+PL
vinegar: vinegar+N+SG
ater: ater+N+SG
Paprika: paprika+N+SG
picks: pick+N+PL
chunks: chunk+N+PL
broiler: broiler+N+SG
Mustard: mustard+N+SG
dip: dip+N+SG
tidbits: tidbit+N+PL
paprika: paprika+N+SG
frankfurters: frankfurter+N+PL
toppings: topping+N+PL
sauerkraut: sauerkraut+N+SG
kraut: kraut+N+SG
onions: onion+N+PL
caraway: caraway+N+SG
ketchup: ketchup+N+SG
teaspoon: teaspoon+N+SG
servings: serving+N+PL
gashes: Invalid Word
rectangle: rectangle+N+SG
mix: mix+N+SG
strips: strip+N+PL
Dash: Invalid Word
patties: patty+N+PL
Directions: direction+N+PL
pottery: pottery+N+SG
Instructions: instruction+N+PL
molds: mold+N+PL
Stoneware: stoneware+N+SG
Glazes: glaz+N+PL
stains: stain+N+PL
cones: cone+N+PL
bubbles: bubble+N+PL
wax: wax+N+SG
mold: mold+N+SG
cavity: cavity+N+SG
knife: knife+N+SG
glazes: glaz+N+PL
antique: antique+N+SG
dampness: dampness+N+SG
tapping: tapping+N+SG
plaster: plaster+N+SG
corrections: correction+N+PL
handle: handle+N+SG
paintbrush: Invalid Word
grooves: groove+N+PL
pinholes: pinhole+N+PL
craters: crater+N+PL
Clay: clay+N+SG
Back: back+N+SG
bisque: bisque+N+SG
coats: coat+N+PL
stoneware: stoneware+N+SG
Tiles: tile+N+PL
Bisque: bisque+N+SG
stain: stain+N+SG
cantaloupe: cantaloupe+N+SG
thick: thick+N+SG
Mold: mold+N+SG
undercut: undercut+N+SG
pencil: pencil+N+SG
eraser: eraser+N+SG
Paperweight: paperweight+N+SG
jar: jar+N+SG
Measurements: measurement+N+PL
circumference: circumference+N+SG
Pattern: pattern+N+SG
Jars: jar+N+PL
3/16'': 3/16''+N+SG
coil: coil+N+SG
jars: jar+N+PL
toner: toner+N+SG
ware: ware+N+SG
matt: matt+N+SG
rim: rim+N+SG
shaker: Invalid Word
coils: coil+N+PL
stopper: stopper+N+SG
splice: splice+N+SG
seam: seam+N+SG
creamer: creamer+N+SG
Handle: handle+N+SG
dowel: dowel+N+SG
container: container+N+SG
spout: spout+N+SG
lids: lid+N+PL
spoon: spoon+N+SG
shakers: Invalid Word
ases: as+N+PL
candles: candle+N+PL
wick: wick+N+SG
cardboard: cardboard+N+SG
holder: holder+N+SG
breakage: breakage+N+SG
greenware: greenware+N+SG
Inside: inside+N+SG
bottle: bottle+N+SG
strand: strand+N+SG
Photograph: photograph+N+SG
stitches: stitch+N+PL
armhole: armhole+N+SG
marker: marker+N+SG
needle: needle+N+SG
backstitch: backstitch+N+SG
underarm: underarm+N+SG
sock: sock+N+SG
beam: beam+N+SG
Menfolk: menfolk+N+SG
helmsman: helmsman+N+SG
Youngsters: youngster+N+PL
headroom: headroom+N+SG
galley: galley+N+SG
toilet: toilet+N+SG
stern: stern+N+SG
mph: mph+N+SG
chop: chop+N+SG
runabout: runabout+N+SG
cruiser: cruiser+N+SG
skiis: skii+N+PL
bin: bin+N+SG
bumpers: bumper+N+PL
sink: sink+N+SG
framing: framing+N+SG
mahogany: mahogany+N+SG
battens: batten+N+PL
flathead: flathead+N+SG
silicon: silicon+N+SG
nails: nail+N+PL
resorcinol: resorcinol+N+SG
glue: glue+N+SG
transom: transom+N+SG
chalk: chalk+N+SG
keelson: keelson+N+SG
chines: chine+N+PL
gussets: gusset+N+PL
limber: limber+N+SG
bilge: bilge+N+SG
planking: planking+N+SG
jig: jig+N+SG
misalignment: misalignment+N+SG
stem: stem+N+SG
clamps: clamp+N+PL
fairing: fairing+N+SG
jump: jump+N+SG
beveling: beveling+N+SG
bending: bending+N+SG
planer: planer+N+SG
bevels: bevel+N+PL
batten: batten+N+SG
fastening: fastening+N+SG
saber: saber+N+SG
trimming: trimming+N+SG
fastenings: fastening+N+PL
pigment: pigment+N+SG
red: red+N+SG
hardener: hardener+N+SG
paint: paint+N+SG
sander: sander+N+SG
centerline: centerline+N+SG
decking: decking+N+SG
flooring: flooring+N+SG
Bottoms: bottom+N+PL
floorboards: floorboard+N+PL
bulkheads: bulkhead+N+PL
bunk: bunk+N+SG
bulkhead: bulkhead+N+SG
cement: cement+N+SG
cottages: cottage+N+PL
handyman: handyman+N+SG
panelization: panelization+N+SG
measurements: measurement+N+PL
all: all+N+SG
timbers: timber+N+PL
inspector: inspector+N+SG
accessibility: accessibility+N+SG
springs: spring+N+PL
AjA: aja+N+SG
AjB: ajb+N+SG
carport: carport+N+SG
partitions: partition+N+PL
fixtures: fixture+N+PL
wiring: wiring+N+SG
particle: particle+N+SG
louvers: louver+N+PL
mastic: mastic+N+SG
compound: compound+N+SG
filler: filler+N+SG
gable: gable+N+SG
wastage: wastage+N+SG
thicknesses: thickness+N+PL
milling: milling+N+SG
rabbeting: rabbeting+N+SG
multitude: multitude+N+SG
attachments: attachment+N+PL
spindle: spindle+N+SG
quill: quill+N+SG
shank: Invalid Word
lag: lag+N+SG
rubdown: rubdown+N+SG
rusting: rusting+N+SG
Presses: press+N+PL
lubrication: lubrication+N+SG
rag: rag+N+SG
Belt: belt+N+SG
bolts: bolt+N+PL
mount: mount+N+SG
pulleys: pulley+N+PL
wear: wear+N+SG
pliers: plier+N+PL
Drill: drill+N+SG
booklet: booklet+N+SG
Feed: feed+N+SG
overheating: overheating+N+SG
spur: spur+N+SG
drills: drill+N+PL
spurs: spur+N+PL
fibers: fiber+N+PL
boring: boring+N+SG
cutter: cutter+N+SG
Fly: fly+N+SG
workpiece: workpiece+N+SG
scrap: Invalid Word
hardness: hardness+N+SG
sequence: sequence+N+SG
erection: erection+N+SG
Bridge: bridge+N+SG
Land: land+N+SG
Island: island+N+SG
Conveyance: conveyance+N+SG
Carriages: carriage+N+PL
Teams: team+N+PL
Travellers: traveller+N+PL
Times: time+N+PL
Tide: tide+N+SG
Subscribers: Invalid Word
Number: number+N+SG
Act: act+N+SG
Body: body+N+SG
riting: riting+N+SG
Liberty: liberty+N+SG
Right: right+N+SG
Toll: toll+N+SG
Names: name+N+PL
Manners: manner+N+PL
Corporation: corporation+N+SG
arch: arch+N+SG
recompense: recompense+N+SG
vortex: vortex+N+SG
breadth: breadth+N+SG
invention: invention+N+SG
engraving: engraving+N+SG
abutments: abutment+N+PL
piers: pier+N+PL
tavern: tavern+N+SG
oration: oration+N+SG
cheek: cheek+N+SG
underbracing: underbracing+N+SG
navigation: navigation+N+SG
advertisement: advertisement+N+SG
Information: information+N+SG
oxen: oxen+N+SG
roadway: roadway+N+SG
steep: steep+N+SG
declivity: declivity+N+SG
'60s: '60+N+PL
armies: army+N+PL
pleas: plea+N+PL
buggy: buggy+N+SG
parcel: parcel+N+SG
publications: publication+N+PL
railhead: railhead+N+SG
interior: interior+N+SG
momentoes: momentoe+N+PL
tokens: token+N+PL
beams: beam+N+PL
raid: raid+N+SG
burnings: burning+N+PL
drove: drove+N+SG
combustibles: combustible+N+PL
torch: torch+N+SG
raiders: raider+N+PL
centennial: centennial+N+SG
hydrochemistry: hydrochemistry+N+SG
grounding: grounding+N+SG
Position: position+N+SG
viewpoints: viewpoint+N+PL
tubes: tube+N+PL
suntan: suntan+N+SG
trek: trek+N+SG
climes: clime+N+PL
floe: floe+N+SG
flora: flora+N+SG
fauna: fauna+N+SG
greensward: greensward+N+SG
pavement: pavement+N+SG
dips: dip+N+PL
delectation: delectation+N+SG
gatherings: gathering+N+PL
fantasies: fantasy+N+PL
lien: lien+N+SG
sharks: Invalid Word
handymen: handymen+N+SG
trunks: trunk+N+PL
ratings: rating+N+PL
collusion: collusion+N+SG
lashes: Invalid Word
ringers: ringer+N+PL
invitees: invitee+N+PL
gaggle: gaggle+N+SG
lingo: lingo+N+SG
Sanity: sanity+N+SG
solvency: Invalid Word
beating: beating+N+SG
swimmers: swimmer+N+PL
alfresco: Invalid Word
conveniences: convenience+N+PL
Safety: safety+N+SG
localities: locality+N+PL
horseplay: horseplay+N+SG
polo: polo+N+SG
coco: coco+N+SG
matting: matting+N+SG
chlorine: chlorine+N+SG
paints: paint+N+PL
divers: diver+N+PL
bottles: bottle+N+PL
chat: chat+N+SG
plunges: plunge+N+PL
lawsuits: lawsuit+N+PL
hydraulics: hydraulic+N+PL
algaecide: algaecide+N+SG
filter: filter+N+SG
pins: pin+N+PL
rust: rust+N+SG
grate: grate+N+SG
debris: debri+N+PL
insect: insect+N+SG
floodlight: floodlight+N+SG
pipes: pipe+N+PL
know: know+N+SG
latitude: latitude+N+SG
conditioning: conditioning+N+SG
FHA: fha+N+SG
inclusion: inclusion+N+SG
ducts: duct+N+PL
installation: installation+N+SG
upkeep: upkeep+N+SG
Home: home+N+SG
colds: cold+N+PL
allergies: allergy+N+PL
asthma: asthma+N+SG
sinus: sinu+N+PL
godsend: godsend+N+SG
invalid: invalid+N+SG
Heart: heart+N+SG
Housekeeping: housekeeping+N+SG
Clothes: clothe+N+PL
mildew: mildew+N+SG
naps: nap+N+PL
screens: Invalid Word
conditioner: conditioner+N+SG
denying: denying+N+SG
adding: adding+N+SG
Manufacturers: manufacturer+N+PL
scratch: Invalid Word
heating: heating+N+SG
ductwork: ductwork+N+SG
filters: filter+N+PL
furnace: furnace+N+SG
blower: blower+N+SG
conditioners: conditioner+N+PL
basement: basement+N+SG
crawlspace: crawlspace+N+SG
closet: closet+N+SG
garage: garage+N+SG
insulation: insulation+N+SG
perimeter: perimeter+N+SG
fusers: fuser+N+PL
radiators: radiator+N+PL
thermostat: thermostat+N+SG
$1500: $1500+N+SG
winters: winter+N+PL
makeup: makeup+N+SG
Families: family+N+PL
thrower: thrower+N+SG
BTU: btu+N+SG
BTU's: btu'+N+PL
Coolers: cooler+N+PL
compressor: compressor+N+SG
Attention: attention+N+SG
$128: $128+N+SG
1: 1+N+SG
overhangs: overhang+N+PL
trellises: trellis+N+PL
Shade: Invalid Word
blinds: blind+N+PL
draperies: drapery+N+PL
condensation: condensation+N+SG
droves: drove+N+PL
ventilator: ventilator+N+SG
drier: drier+N+SG
contracting: contracting+N+SG
ownerships: Invalid Word
investigator: investigator+N+SG
potentials: potential+N+PL
Quality: quality+N+SG
Frontage: frontage+N+SG
frontage: frontage+N+SG
surf: surf+N+SG
shrubs: Invalid Word
watershed: Invalid Word
logging: logging+N+SG
deserts: desert+N+PL
waterfalls: waterfall+N+PL
Animals: animal+N+PL
flyways: flyway+N+PL
Clams: clam+N+PL
Notice: notice+N+SG
crust: crust+N+SG
agates: agate+N+PL
stones: stone+N+PL
caves: cave+N+PL
artifacts: artifact+N+PL
Areas: area+N+PL
encroachment: encroachment+N+SG
Acreage: acreage+N+SG
Shape: Invalid Word
Topography: topography+N+SG
elevation: elevation+N+SG
slopes: slope+N+PL
outcrops: outcrop+N+PL
topsoil: topsoil+N+SG
subsoil: subsoil+N+SG
ballfields: ballfield+N+PL
topography: topography+N+SG
irrigation: irrigation+N+SG
checking: checking+N+SG
Lack: lack+N+SG
Anniversary: anniversary+N+SG
pranks: prank+N+PL
twenties: twenty+N+PL
modernism: modernism+N+SG
skeptics: skeptic+N+PL
foyer: foyer+N+SG
broadcastings: broadcasting+N+PL
extravaganzas: extravaganza+N+PL
symphonies: Invalid Word
gavottes: gavotte+N+PL
marches: march+N+PL
aristocracy: Invalid Word
enthusiasms: enthusiasm+N+PL
motherland: motherland+N+SG
salons: salon+N+PL
mistress: mistress+N+SG
gaiety: gaiety+N+SG
abandon: abandon+N+SG
conscription: Invalid Word
submission: submission+N+SG
treaties: treaty+N+PL
disciplines: Invalid Word
workman: workman+N+SG
epoch: epoch+N+SG
environment: environment+N+SG
defection: defection+N+SG
traditionalism: traditionalism+N+SG
torrents: torrent+N+PL
tenderness: tenderness+N+SG
profile: profile+N+SG
instrumentation: instrumentation+N+SG
modulations: modulation+N+PL
orchestrations: orchestration+N+PL
adroitness: adroitness+N+SG
heaviness: heaviness+N+SG
Need: need+N+SG
novelty: novelty+N+SG
experimentalism: experimentalism+N+SG
lure: lure+N+SG
dialectics: dialectic+N+PL
experimentations: experimentation+N+PL
fecundity: fecundity+N+SG
fruitfulness: fruitfulness+N+SG
compass: compass+N+SG
miscalculations: Invalid Word
blunder: blunder+N+SG
inspirations: inspiration+N+PL
homogeneity: homogeneity+N+SG
admirers: admirer+N+PL
postulates: postulate+N+PL
patchwork: patchwork+N+SG
proclamations: proclamation+N+PL
renunciations: renunciation+N+PL
protagonist: protagonist+N+SG
reharmonization: reharmonization+N+SG
polka: polka+N+SG
nest: nest+N+SG
folklore: folklore+N+SG
fairy: fairy+N+SG
orld: orld+N+SG
fermentations: fermentation+N+PL
moods: mood+N+PL
rigors: rigor+N+PL
kinship: Invalid Word
watercolorists: watercolorist+N+PL
distillation: distillation+N+SG
engraver: engraver+N+SG
expeditions: expedition+N+PL
backdrop: backdrop+N+SG
seals: seal+N+PL
watercolor: watercolor+N+SG
washes: Invalid Word
stylemark: stylemark+N+SG
flicks: flick+N+PL
rigger: rigger+N+SG
watercolors: watercolor+N+PL
composing: composing+N+SG
clicking: clicking+N+SG
Speed: speed+N+SG
spontaneity: spontaneity+N+SG
crispness: crispness+N+SG
accenting: accenting+N+SG
Trial: trial+N+SG
easel: easel+N+SG
umbrella: umbrella+N+SG
make: make+N+SG
flaws: flaw+N+PL
nubbins: nubbin+N+PL
tissue: tissue+N+SG
absorbency: Invalid Word
watercolorist: watercolorist+N+SG
sable: sable+N+SG
bristle: bristle+N+SG
sables: sable+N+PL
riggers: rigger+N+PL
alizarin: alizarin+N+SG
sienna: sienna+N+SG
umber: umber+N+SG
sepia: sepia+N+SG
cadmium: cadmium+N+SG
ochre: ochre+N+SG
gray: gray+N+SG
black: black+N+SG
decorativeness: decorativeness+N+SG
connotation: connotation+N+SG
elaboration: elaboration+N+SG
synthesis: Invalid Word
inventory: inventory+N+SG
foreground: foreground+N+SG
progression: progression+N+SG
niche: niche+N+SG
interpretor: interpretor+N+SG
medals: medal+N+PL
memberships: Invalid Word
gymnasts: gymnast+N+PL
tar: tar+N+SG
athletes: athlete+N+PL
gymnastics: gymnastic+N+PL
somersault: somersault+N+SG
stunts: stunt+N+PL
headstands: headstand+N+PL
handstands: handstand+N+PL
cartwheels: cartwheel+N+PL
backbends: backbend+N+PL
flips: flip+N+PL
gyms: gym+N+PL
mats: mat+N+PL
volleyball: volleyball+N+SG
gymnast: gymnast+N+SG
persistence: persistence+N+SG
infants: infant+N+PL
walks: walk+N+PL
fitness: fitness+N+SG
anxiety: anxiety+N+SG
demonstrators: demonstrator+N+PL
headstand: headstand+N+SG
Dance: dance+N+SG
Dancers: dancer+N+PL
ballerinas: ballerina+N+PL
dashes: Invalid Word
Arm: arm+N+SG
Horse: horse+N+SG
fours: four+N+PL
pushes: Invalid Word
letting: letting+N+SG
Handstands: handstand+N+PL
backbend: backbend+N+SG
acrobatics: acrobatic+N+PL
palms: palm+N+PL
handstand: handstand+N+SG
walkover: walkover+N+SG
Improvement: improvement+N+SG
pelvis: pelvi+N+PL
beginnings: beginning+N+PL
tumbler: tumbler+N+SG
electronics: electronic+N+PL
betterment: betterment+N+SG
Electronics: electronic+N+PL
electrocardiograph: electrocardiograph+N+SG
diathermy: diathermy+N+SG
massage: massage+N+SG
contusions: contusion+N+PL
bursitis: bursiti+N+PL
audio: audio+N+SG
paging: paging+N+SG
timers: timer+N+PL
laboratories: laboratory+N+PL
bacteria: bacteria+N+SG
microorganisms: microorganism+N+PL
microscope: Invalid Word
Fig.: fig.+N+SG
microscopy: Invalid Word
biophysicist: biophysicist+N+SG
mercury: mercury+N+SG
xenon: xenon+N+SG
orthicon: orthicon+N+SG
looking: looking+N+SG
quartz: quartz+N+SG
synchronism: Invalid Word
wavelength: wavelength+N+SG
leakage: leakage+N+SG
circuitry: circuitry+N+SG
amplifiers: amplifier+N+PL
tricolor: tricolor+N+SG
illumination: illumination+N+SG
carbon: carbon+N+SG
dioxide: dioxide+N+SG
nitrogen: nitrogen+N+SG
lung: lung+N+SG
inhalation: inhalation+N+SG
mouthpiece: mouthpiece+N+SG
treadmill: treadmill+N+SG
heartbeat: heartbeat+N+SG
aorta: aorta+N+SG
dimensioning: dimensioning+N+SG
pen: pen+N+SG
Sonar: sonar+N+SG
transducers: transducer+N+PL
meters: meter+N+PL
Msec.: msec.+N+SG
sonar: sonar+N+SG
generator: generator+N+SG
evaluation: evaluation+N+SG
spleen: spleen+N+SG
catheter: catheter+N+SG
thermistor: thermistor+N+SG
transducer: transducer+N+SG
ventricle: ventricle+N+SG
Outputs: output+N+PL
analogue: analogue+N+SG
computer: computer+N+SG
receivers: receiver+N+PL
transistor: transistor+N+SG
oscillator: Invalid Word
cm.: cm.+N+SG
Battery: battery+N+SG
capacitor: capacitor+N+SG
antenna: antenna+N+SG
bursts: burst+N+PL
burst: burst+N+SG
ringing: ringing+N+SG
receiver: receiver+N+SG
Applications: application+N+PL
detection: detection+N+SG
exploration: exploration+N+SG
Bones: bone+N+PL
cartilage: cartilage+N+SG
retina: retina+N+SG
glaucoma: glaucoma+N+SG
indicator: indicator+N+SG
sonogram: sonogram+N+SG
mc.: mc.+N+SG
epoxy: Invalid Word
lens: len+N+PL
diameters: diameter+N+PL
millimeter: millimeter+N+SG
scan: Invalid Word
scans: Invalid Word
tub: tub+N+SG
scanning: Invalid Word
Arteries: artery+N+PL
veins: vein+N+PL
boyhood: boyhood+N+SG
apothecary: apothecary+N+SG
wigmaker: wigmaker+N+SG
surveyor: surveyor+N+SG
dormitory: dormitory+N+SG
essay: essay+N+SG
pharmacy: Invalid Word
alkalis: alkali+N+PL
ferment: ferment+N+SG
galvanism: galvanism+N+SG
francs: franc+N+PL
discoveries: Invalid Word
fantasy: Invalid Word
ecliptic: ecliptic+N+SG
electrophorus: electrophoru+N+PL
condenser: condenser+N+SG
professorship: Invalid Word
salts: salt+N+PL
faculties: faculty+N+PL
thoroughness: thoroughness+N+SG
esteem: esteem+N+SG
chemists: chemist+N+PL
magnetism: magnetism+N+SG
repulsions: repulsion+N+PL
similarity: similarity+N+SG
analogies: analogy+N+PL
magnet: magnet+N+SG
fuse: fuse+N+SG
current: current+N+SG
vapor: vapor+N+SG
trough: trough+N+SG
polarity: polarity+N+SG
1700's: 1700'+N+PL
additives: additive+N+PL
drugs: drug+N+PL
processors: processor+N+PL
parentheses: parenthes+N+PL
Oxytetracycline: Invalid Word
hydrochloride: hydrochloride+N+SG
Increases: increas+N+PL
diarrhea: diarrhea+N+SG
incidence: incidence+N+SG
bloat: bloat+N+SG
abscesses: Invalid Word
Milk: milk+N+SG
grams: gram+N+PL
scours: Invalid Word
severity: severity+N+SG
oxytetracycline: Invalid Word
shipment: Invalid Word
onset: onset+N+SG
Chlortetracycline: Invalid Word
infections: infection+N+PL
Prevention: prevention+N+SG
pneumonia: pneumonia+N+SG
rhinotracheitis: rhinotracheiti+N+PL
Treatment: treatment+N+SG
vaccination: vaccination+N+SG
rot: rot+N+SG
milligram: milligram+N+SG
anaplasmosis: anaplasmosi+N+PL
calves: calve+N+PL
infection: infection+N+SG
enterotoxemia: enterotoxemia+N+SG
abortion: abortion+N+SG
gram: gram+N+SG
premix: premix+N+SG
lambs: lamb+N+PL
